Subject|Content|SA|mSA
Coldplay|@TheEllenShow I always love when you have Justin Timberlake on...he is so entertaining and fabulous to look at too! Coldplay was great too!|1|1
Coldplay|@ChrisOfColdplay I just wanted to say that you are such an amazing and talented singer. I love your accent :)|1|1
Coldplay|Listening to the Coldplay concert set list @LaurenMEOWz @haleylukefahr So glad my good taste in music has rubbed off on you - have fun :)|1|1
Coldplay|@disha1884 that's awesome - let me know when Coldplay is there - I am sure to be there !|1|1
Coldplay|I liked a @YouTube video|1|1
Coldplay|Is it just me or does the new Coldplay album sound just like Imogean Heap circa 2005?|1|1
Coldplay|I think I love Coldplay. And I think I even like Willie Nelson singing Coldplay.|1|1
Coldplay|Concert suggestions in DC for my bday next wk? :) I wish I could get some help on finding tickets :) @ChrisOfColdplay @coldplay @DC101|1|1
Coldplay|@ChrisOfColdplay @EdmondBurton yes. I personally would. I love all of them they are an incredible and outstanding band!|1|1
Coldplay|#NowPlaying Strawberry Swing by #Coldplay - People moving all the time inside a perfectly straight line. Don't yo|1|1
Coldplay|i am enjoying watching Coldplay live from Madrid on YouTube. I am loving it!!!!|1|1
Coldplay|I really love #Coldplay but I can only manage one song at a time. #depressing good sound though. Good piano usage.|1|1
Coldplay|@ChrisOfColdplay Chris the concert was great last night I've never heard someone so gracious to there fans .|1|1
Coldplay|1) This makes me excited for Catching Fire 2) This gives me hope for modern music #HurryUpNovember22 #Coldplay|1|1
Coldplay|Coldplay's fix you is like the universal song of the world. Everyone likes it|1|0
Coldplay|Coldplay LIVE 2012 just might be the most beautiful concert I've ever seen|1|1
Coldplay|Would love for all of his friends to check out this great new caffeinated song by Coldplay.|1|1
Coldplay|@ChrisOfColdplay You are one amazing and incredible soul! May peace be found in your heart|1|1
Coldplay|My Fav 2 bands? U2 & Coldplay. Why? They get under my skin and I feel the music long after it stops... like any truly great thing in life.|1|1
Coldplay|@ChrisOfColdplay hey Chris you are just an amazing musian and I love your voice|1|1
Coldplay|Rob Riggles just declared that Coldplay is good enough to beat the Vikings. Agreed.|1|1
Coldplay|Cameron playing the first few lines of Clocks (Coldplay) over & over & over again on piano. He just learned it. Sounding better & better!|1|1
Coldplay|Coldplay paradise perform was pretty cool looking..love that song|1|1
Coldplay|Thank God Gwyneth Paltrow and Chris Martin are getting divorced. Maybe Coldplay will be good again!|1|1
Coldplay|From 1.3 miles away Mumford and sons sound vaguely like Coldplay|1|0
Coldplay|Coldplay performing paradise on SNL just made my whole weekend.|1|1
Coldplay|I think I could learn to like Coldplay if their songs would ever get there. Every single song- building|1|1
Coldplay|@Cruseyyy wanna know how I know you're gay? Because you macramed yourself a pair of jean shorts. And you like Coldplay|0|0
Coldplay|@coldplay I'm an ER nurse I would like to supply Coldplay scrubs for your store for your fans in healthcare please contact me|1|1
Coldplay|Maybe today will be better... Started the day with my fave Coldplay song :)|1|1
